,song,artist,chord_progression,key
210,Talk Tonight,Oasis,"['Cadd9', 'G', 'Dsus4', 'Em7']",G
211,Talk Tonight,Oasis,"['Cadd9', 'G', 'Dsus2', 'Em7']",G
212,Whatever,Oasis,"['G', 'Dsus4/F#', 'Em7', 'Dsus4', 'Cadd9', 'Dsus4', 'G', 'Dsus4']",G
213,Whatever,Oasis,"['Dsus4', 'G', 'Dsus4/F#', 'Em7', 'Dsus4', 'Cadd9', 'Dsus4', 'G']",G
214,Wonderwall,Oasis,"['F#m7', 'A', 'Esus4', 'B7sus4']",E
215,Wonderwall,Oasis,"['Esus4', 'B7sus4', 'F#m7', 'A']",E
216,Wonderwall,Oasis,"['D', 'F#m7', 'A', 'F#m7']",D
217,Wonderwall,Oasis,"['F#m7', 'A', 'Esus4', 'B7sus4']",E
218,Wonderwall,Oasis,"['Esus4', 'B7sus4', 'F#m7', 'A']",E
219,Wonderwall,Oasis,"['D', 'F#m7', 'A', 'F#m7']",D
220,Wonderwall,Oasis,"['D', 'Esus4', 'F#m']",A
221,This I Promise You,*NSYNC,"['A', 'E', 'B', 'C#m', 'A', 'E', 'B']",E
222,This I Promise You,*NSYNC,"['A', 'Bm', 'G', 'A']",D
223,This I Promise You,*NSYNC,"['G', 'D', 'A']",D
224,This I Promise You,*NSYNC,"['A', 'E', 'B']",E
225,California Dreamin,The Mamas & The Papas,"['Am', 'F', 'G']",C
226,Paint My Love,Michael Learns to Rock,"['Em', 'A', 'D']",D
227,Sex And Candy,Marcy Playground,"['D', 'A', 'Bm', 'G']",D
228,Sex And Candy,Marcy Playground,"['Bm', 'G', 'A']",D
229,Push,Matchbox Twenty,"['G', 'D/F#', 'Em', 'Cadd9']",G
230,Push,Matchbox Twenty,"['G', 'D/F#', 'Em', 'C']",G
231,Push,Matchbox Twenty,"['G', 'D/F#', 'Em', 'Cadd9']",G
232,Push,Matchbox Twenty,"['D', 'G', 'D', 'Csus2']",G
233,Push,Matchbox Twenty,"['D', 'Em', 'D', 'C']",G
234,Push,Matchbox Twenty,"['C', 'D', 'Em', 'D/F#']",G
235,Push,Matchbox Twenty,"['Em', 'D/F#', 'Cadd9', 'D']",G
